term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
alignment antenna,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.024999999999768,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
alive,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999992399,1.0249999999996044,0.025,0.025,1.0249999999994723,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
allegiance,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999512,0.025,0.025,0.025,0.025,1.0249999999995327,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
alley,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999994612,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996449
alliance,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996617,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.1075763072995504,0.025,1.0249999999996044,1.0249999999994774,0.025,1.024999999999412,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.9424236926995587,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
allies,1.0249999999996848,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999989903,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999333,0.025,0.025,1.024999999999633,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ally,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999996424,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.024999999998479,0.025,1.0249999999994723,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000012,0.025,0.025,0.025,0.025,0.025
alright,1.0249999999994612,1.024999999999614,1.5760588598140162,0.025,0.025,1.0870041214296375,2.271311786581401,0.025000000000000005,2.616754472522511,4.024999999999669,0.025,2.1129889183169137,0.025,0.025,0.025,0.025,1.0249999999994457,0.025,8.505088186846276,2.8436753771647574,0.025,0.025,2.2171997335954434,1.024999999999485,0.025,0.025000000000000005,0.025,3.024999999999724,0.025,4.241045793880705,0.025,3.7428870652303163,1.0609856846137273,0.025,1.0249999999996315,0.025,0.025,1.0249999999996882,1.0249999999995965,4.024999999999705
alright thats,0.025,0.025,1.0249999999996056,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999536,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
altitude,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995119,0.025,0.025,0.025,0.025,2.0249999999990953,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994195,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ambush,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999994401,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3.0249999999993853,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
ami,0.025,0.02500000000000001,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999984336,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995687,0.025,0.025,0.025,0.025,0.025
analysis,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,2.0249999999991752,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995685,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005
ancestors,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,8.02499999999936,0.025,0.025,0.025,0.025,0.025,1.0249999999990471,1.024999999999596,0.025,0.025,0.025,0.025,0.025,0.025,1.0249999999995918,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.024999999999522,0.025,0.025,1.0249999999996289,0.025,0.025,0.025,2.0249999999993875,0.025
